Ticker,Sector,Industry
RETAIL.NS,Retail Trade,Food Retail
REXPRO.NS,Producer Manufacturing,Office Equipment/Supplies
RFBL.NS,Process Industries,Containers/Packaging
RGL.NS,Consumer Durables,Other Consumer Specialties
RHETAN.NS,Non-Energy Minerals,Steel
RHFL.NS,Finance,Finance/Rental/Leasing
RHIM.NS,Producer Manufacturing,Miscellaneous Manufacturing
RHL.NS,Consumer Services,Hotels/Resorts/Cruise lines
RICHA.NS,Electronic Technology,Computer Peripherals
RICOAUTO.NS,Producer Manufacturing,Auto Parts: OEM
RIIL.NS,Industrial Services,Oil & Gas Pipelines
RIIT.NS,Miscellaneous,Investment Trusts/Mutual Funds
RILINFRA.NS,Industrial Services,Engineering & Construction
RIR.NS,Electronic Technology,Semiconductors
RISHABH.NS,Producer Manufacturing,Electrical Products
RITCO.NS,Transportation,Trucking
RITES.NS,Commercial Services,Miscellaneous Commercial Services
RITEZONE.NS,Process Industries,Chemicals: Major Diversified
RKDL.NS,Consumer Non-Durables,Beverages: Alcoholic
RKEC.NS,Industrial Services,Engineering & Construction
RKFORGE.NS,Producer Manufacturing,Metal Fabrication
RKSWAMY.NS,Commercial Services,Advertising/Marketing Services
RMC.NS,Producer Manufacturing,Electrical Products
RMDRIP.NS,Producer Manufacturing,Industrial Machinery
RML.NS,Producer Manufacturing,Auto Parts: OEM
RNBDENIMS.NS,Process Industries,Textiles
RNFI.NS,Finance,Regional Banks
RNPL.NS,Process Industries,Chemicals: Specialty
ROCKINGDCE.NS,Distribution Services,Wholesale Distributors
ROCKPP.E1.NS,Distribution Services,Wholesale Distributors
ROHLTD.NS,Consumer Services,Hotels/Resorts/Cruise lines
